State	Population	Reps
California	39576757	52
Texas	29183290	38
Florida	21570527	28
New York	20215751	27
Illinois	12822739	17
Pennsylvania	13011844	17
Ohio	11808848	15
Georgia	10725274	14
North Carolina	10453948	14
Michigan	10084442	13
New Jersey	9294493	12
Virginia	8654542	11
Washington	7715946	10
Arizona	7158923	9
Indiana	6790280	9
Massachusetts	7033469	9
Tennessee	6916897	9
Colorado	5782171	8
Maryland	6185278	8
Minnesota	5709752	8
Missouri	6160281	8
Wisconsin	5897473	8
Alabama	5030053	7
South Carolina	5124712	7
Kentucky	4509342	6
Louisiana	4661468	6
Oregon	4241500	6
Connecticut	3608298	5
Oklahoma	3963516	5
Arkansas	3013756	4
Iowa	3192406	4
Kansas	2940865	4
Mississippi	2963914	4
Nevada	3108462	4
Utah	3275252	4
Nebraska	1963333	3
New Mexico	2120220	3
Hawaii	1460137	2
Idaho	1841377	2
Maine	1363582	2
Montana	1085407	2
New Hampshire	1379089	2
Rhode Island	1098163	2
West Virginia	1795045	2
Alaska	736081	1
Delaware	990837	1
North Dakota	779702	1
South Dakota	887770	1
Vermont	643503	1
Wyoming	577719	1
